icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,price
4baa90,THY9FV,Turkey,1767007113.0,1767007113,19.732,44.996,10363.2,False,207.38,298.28,0.0,,10370.82,2671,False,0,258.2702489274491
70c0fa,OMA683,Oman,1767007113.0,1767007113,55.6757,24.2428,10363.2,False,197.9,284.76,0.0,,10843.26,,False,0,291.28362080861507
4bb189,THY197,Turkey,1767006901.0,1767006914,29.7023,41.0266,472.44,False,79.36,3.34,21.13,,1432.56,,False,0,91.55261276531095
add2b6,AAL1647,United States,1767007113.0,1767007113,-81.3358,29.4722,6995.16,False,235.45,356.87,6.83,,7315.2,0715,False,0,244.76914910474486
4baa8f,THY2ZD,Turkey,1767007113.0,1767007114,22.556,45.4626,10972.8,False,188.51,309.69,-0.33,,10858.5,1000,False,0,237.99058828603904
4bb187,THY5YR,Turkey,1767007113.0,1767007113,-0.6549,61.3834,10668.0,False,270.63,117.88,-0.33,,10530.84,,False,0,264.2229497755859
8963de,UAE102,United Arab Emirates,1767007113.0,1767007114,24.6362,42.7342,10668.0,False,268.49,100.6,0.0,,10591.8,0405,False,0,277.92761818189433
4baa8d,THY8FY,Turkey,1767007114.0,1767007114,17.9286,59.6803,655.32,False,77.13,9.21,6.5,,586.74,,False,0,93.69166405903177
4bb185,THY2GN,Turkey,1767007114.0,1767007114,27.883,41.7474,6995.16,False,175.82,302.57,7.8,,6896.1,,False,0,198.2849555096548
8963dc,UAE3YM,United Arab Emirates,1767007110.0,1767007113,51.3671,26.5677,9144.0,False,210.62,290.29,0.0,,9425.94,0513,False,0,235.7209804025229
4baa8b,THY5ST,Turkey,1767007114.0,1767007114,15.0832,47.4411,10058.4,False,253.41,118.23,0.33,,10111.74,6412,False,0,249.69605072656333
4baa8c,,Turkey,1767007087.0,1767007110,28.79,41.3397,754.38,False,124.33,31.98,13.98,,769.62,,False,0,118.1990885474261
399264,CRL926,France,1767007113.0,1767007113,-1.8976,47.602,9608.82,False,246.33,238.67,2.6,,9707.88,5607,False,0,240.14939251937997
8963e9,UAE71J,United Arab Emirates,1767007113.0,1767007113,32.5234,29.6533,8161.02,False,266.58,91.55,2.93,,8290.56,7345,False,0,281.3967192737921
8963e8,UAE33T,United Arab Emirates,1767007113.0,1767007114,1.4829,53.975,11277.6,False,222.78,301.3,0.0,,11285.22,3275,False,0,275.89099505869
4baa66,THY1ED,Turkey,1767007114.0,1767007114,19.1787,51.2611,10980.42,False,178.79,326.86,0.0,,10774.68,4540,False,0,217.99077001070137
4baa65,THY9QA,Turkey,1767007113.0,1767007113,23.835,42.6682,10058.4,False,255.93,112.08,0.0,,10012.68,0222,False,0,271.9076184590028
4baa63,THY7VH,Turkey,1767007114.0,1767007114,22.0931,46.3548,10683.24,False,270.39,131.61,0.0,,10576.56,7604,False,0,275.91747188818835
8963b1,FDB1081,United Arab Emirates,1767007102.0,1767007113,49.0587,27.1895,10363.2,False,181.73,299.32,0.0,,10690.86,6204,False,0,254.15709020838364
a4417d,DAL1552,United States,1767007113.0,1767007113,-82.1467,35.0641,8534.4,False,198.16,250.91,0.0,,8785.86,5634,False,0,263.7476089204629
3465d9,VOE1FU,Spain,1767007113.0,1767007113,9.0457,44.5127,11582.4,False,231.46,297.25,0.0,,11650.98,5512,False,0,244.73635060708511
4bb149,THY6,Turkey,1767007114.0,1767007114,10.8042,49.8445,10668.0,False,264.04,118.51,0.0,,10721.34,2215,False,0,291.5339215829484
3465d4,IBB55LF,Spain,1767007098.0,1767007106,-1.932,43.2492,3131.82,False,151.05,347.81,-6.83,,3223.26,4473,False,0,154.5549440886672
3a3480,ACI141,France,1767007113.0,1767007113,158.2787,-28.9755,11887.2,False,283.69,47.72,0.0,,12344.4,1374,False,0,328.7158015290093
4baa5a,THY7YE,Turkey,1767007114.0,1767007114,17.9535,52.0473,10058.4,False,280.78,143.19,0.0,,9875.52,4543,False,0,293.40913256475375
a28947,UAL1527,United States,1767007113.0,1767007113,-79.3132,38.5353,6659.88,False,245.92,76.08,-10.08,,6705.6,6067,False,0,224.9766133652236
400776,BAW255T,United Kingdom,1767007114.0,1767007114,-3.9315,50.5744,10492.74,False,240.62,254.63,4.23,,10584.18,5156,False,0,269.7707212866676
8963b4,FDB2RK,United Arab Emirates,1767006979.0,1767006986,55.4049,25.2304,76.2,False,73.78,302.47,-3.58,,53.34,5461,False,0,71.50288286393022
4baa70,THY6969,Turkey,1767007111.0,1767007114,31.1434,40.7512,9791.7,False,174.74,287.47,-3.9,,9525.0,,False,0,254.14014277197197
3465c9,VOE94BY,Spain,1767007113.0,1767007114,1.1108,46.1463,10927.08,False,205.09,114.77,2.93,,10995.66,1000,False,0,262.92783297343885
4868ba,TRA3T,Kingdom of the Netherlands,1767007113.0,1767007113,4.1841,52.0289,2514.6,False,118.35,12.04,-7.8,,2636.52,1000,False,0,173.56401371506016
4bb159,THY6308,Turkey,1767006580.0,1767007113,41.4056,41.2276,10363.2,False,223.96,260.21,0.33,,9890.76,5104,False,0,259.6743837237076
781e21,B652Q,China,1767007109.0,1767007113,121.5527,14.9492,3627.12,False,137.28,149.11,-6.18,,3848.1,,False,0,142.95286466179076
4bb163,THY2UB,Turkey,1767007114.0,1767007114,30.5554,37.2215,3924.3,False,191.68,152.33,-7.8,,3901.44,5125,False,0,154.58011214774345
31feff,PROVA23,Italy,1767007112.0,1767007113,8.6558,45.868,480.06,False,53.36,124.0,-0.33,,579.12,0030,False,0,46.40840647488111
a4eacb,DAL114,United States,1767007113.0,1767007113,-77.7395,30.617,11887.2,False,232.22,2.41,0.0,,12313.92,,False,0,257.56648113989024
440b93,OEFLO,Austria,1767007113.0,1767007113,16.5329,48.1168,822.96,False,68.81,251.7,11.38,,891.54,,False,0,98.66293302022967
4067f0,TOM82C,United Kingdom,1767007114.0,1767007114,-7.8358,38.5577,11277.6,False,236.6,188.38,0.0,,11323.32,2242,False,0,291.7077004645987
